DisNo.,Historic,Classification Key,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,External IDs,Event Name,ISO,Country,Subregion,Region,Location,Origin,Associated Types,OFDA/BHA Response,Appeal,Declaration,AID Contribution ('000 US$),Magnitude,Magnitude Scale,Latitude,Longitude,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No. Injured,No. Affected,No. Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damage ('000 US$),"Insured Damage, Adjusted ('000 US$)",Total Damage ('000 US$),"Total Damage, Adjusted ('000 US$)",CPI,Admin Units,Entry Date,Last Update
2000-0095-JOR,No,nat-met-sto-sto,Natural,Meteorological,Storm,Storm (General),,,JOR,Jordan,Western Asia,Asia,"Ajloon, Amman, Aqaba, Balqa, Irbid, Jarash, Karak, Ma'an, Madaba, Mafraq, Tafiela, Zarqa provinces",,,No,No,No,,80,Kph,,,,2000,1,24,2000,1,24,9,200,,,200,,,,,,,58.84064849,"[{""adm1_code"":1701,""adm1_name"":""Ajloon""},{""adm1_code"":1702,""adm1_name"":""Balqa""},{""adm1_code"":1703,""adm1_name"":""Aqaba""},{""adm1_code"":1704,""adm1_name"":""Karak""},{""adm1_code"":1705,""adm1_name"":""Amman""},{""adm1_code"":1706,""adm1_name"":""Tafiela""},{""adm1_code"":1707,""adm1_name"":""Irbid""},{""adm1_code"":1708,""adm1_name"":""Jarash""},{""adm1_code"":1709,""adm1_name"":""Ma'an""},{""adm1_code"":1710,""adm1_name"":""Madaba""},{""adm1_code"":1711,""adm1_name"":""Mafraq""},{""adm1_code"":1712,""adm1_name"":""Zarqa""}]",2003-07-01,2023-09-25
2000-0096-SWZ,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,SWZ,Eswatini,Sub-Saharan Africa,Africa,"Hhohho, Lubombo, Manzini, Shiselweni provinces",,,No,No,No,,,Km2,,,,2000,1,,2000,1,,,,272000,,272000,,,,,50,85,58.84064849,"[{""adm1_code"":2782,""adm1_name"":""Hhohho""},{""adm1_code"":2783,""adm1_name"":""Lubombo""},{""adm1_code"":2784,""adm1_name"":""Manzini""},{""adm1_code"":2785,""adm1_name"":""Shiselweni""}]",2003-07-01,2023-09-25
2000-0097-AUS,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Steve,AUS,Australia,Australia and New Zealand,Oceania,"Cairns, Tablelands districts (Queensland province), New South Wales province",,Flood,No,No,Yes,,120,Kph,,,,2000,2,27,2000,3,13,1,,200,,200,,,10000,16995,90000,152955,58.84064849,"[{""adm1_code"":470,""adm1_name"":""New South Wales""},{""adm2_code"":154657,""adm2_name"":""Cairns (R)""},{""adm2_code"":154694,""adm2_name"":""Tablelands (R)""}]",2005-07-08,2023-09-25
2000-0098-COL,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,COL,Colombia,Latin America and the Caribbean,Americas,"Tolima, Santander, Valle provinces",,,No,No,No,,,Km2,,,,2000,2,,2000,2,,8,,,39000,39000,,,,,,,58.84064849,"[{""adm1_code"":961,""adm1_name"":""Santander""},{""adm1_code"":963,""adm1_name"":""Tolima""},{""adm1_code"":964,""adm1_name"":""Valle Del Cauca""}]",2003-07-01,2023-09-25
2000-0100-SDN,No,nat-bio-epi-bac,Natural,Biological,Epidemic,Bacterial disease,,,SDN,Sudan,Northern Africa,Africa,"Juba (Bahr el Jebel State), Upper Nile, Khartoum, Sennar, White Nile, Gezira, South Kordofan, Gedaref states",,,No,No,No,,,,,,,2000,1,1,2000,3,31,186,,2363,,2363,,,,,,,58.84064849,,2005-06-16,2023-09-25
2000-0103-ZMB,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,ZMB,Zambia,Sub-Saharan Africa,Africa,"Chiawa area (Kafue district, Lusaka province)","Dam/Levy, break or release and heavy rains",Broken Dam/Burst bank,No,No,No,,8500,Km2,,,,2000,3,3,2000,3,4,,,12000,,12000,,,,,,,58.84064849,"[{""adm2_code"":65206,""adm2_name"":""Kafue""}]",2004-10-27,2023-09-25
2000-0104-ETH,No,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,,,ETH,Ethiopia,Sub-Saharan Africa,Africa,"Bale, Borena districts (Oromia province) Wondo genet city (Sidama district, SNNPR province)",,,No,No,No,,970,Km2,,,,2000,2,,2000,2,,,5,,,5,,,,,,,58.84064849,"[{""adm2_code"":40838,""adm2_name"":""Sidama""},{""adm2_code"":47688,""adm2_name"":""Borena""},{""adm2_code"":149288,""adm2_name"":""Bale""}]",2003-07-01,2023-09-25
2000-0107-MDG,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,"Eline, Gloria",MDG,Madagascar,Sub-Saharan Africa,Africa,"Marolambo, Antanambao Manampontsy, Mahanoro, Vatomandry, Brickaville districts (Atsinanana province), Ambositra district (Amoron I Mania province), Antananarivo Avaradrano, Andramasina, Manjakandriana districts (Analamanga province), Ambatolampy, Antsirabe II, Antanifotsy districts (Vakinankaratra province), Antalaha, Sambava, Andapa, Vohemar districts (Sava province), Morondava, Belo Sur Tsiribihina, Mahabo districts (Menabe province), Morombe district (Atsimo Andrefana province), Maroantsetra district (Analanjirofo province)",,Flood,Yes,No,Yes,8840,,Kph,,,,2000,2,17,2000,3,11,130,,736937,,736937,,,,,9000,15296,58.84064849,"[{""adm2_code"":154515,""adm2_name"":""Ambositra""},{""adm2_code"":154519,""adm2_name"":""Andramasina""},{""adm2_code"":154523,""adm2_name"":""Antananarivo Avaradrano""},{""adm2_code"":154524,""adm2_name"":""Manjakandriana""},{""adm2_code"":154527,""adm2_name"":""Maroantsetra""},{""adm2_code"":154543,""adm2_name"":""Morombe""},{""adm2_code"":154552,""adm2_name"":""Antanambao Manampontsy""},{""adm2_code"":154553,""adm2_name"":""Brickaville""},{""adm2_code"":154554,""adm2_name"":""Mahanoro""},{""adm2_code"":154555,""adm2_name"":""Marolambo""},{""adm2_code"":154558,""adm2_name"":""Vatomandry""},{""adm2_code"":154590,""adm2_name"":""Belo Sur Tsiribihina""},{""adm2_code"":154591,""adm2_name"":""Mahabo""},{""adm2_code"":154594,""adm2_name"":""Morondava""},{""adm2_code"":154595,""adm2_name"":""Andapa""},{""adm2_code"":154596,""adm2_name"":""Antalaha""},{""adm2_code"":154597,""adm2_name"":""Sambava""},{""adm2_code"":154598,""adm2_name"":""Vohemar""},{""adm2_code"":154606,""adm2_name"":""Ambatolampy""},{""adm2_code"":154607,""adm2_name"":""Antanifotsy""},{""adm2_code"":154609,""adm2_name"":""Antsirabe II""}]",2007-04-17,2023-09-25
2000-0107-MOZ,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,"Eline, Gloria",MOZ,Mozambique,Sub-Saharan Africa,Africa,"Cabo Delgado, Gaza, Inhambane, Manica, Nampula, Niassa, Sofala, Tete, Zambezia, Maputo, Lago niassa provinces",,,No,No,No,,,Kph,,,,2000,2,18,2000,2,23,17,,,,,,,,,1000,1700,58.84064849,"[{""adm1_code"":2112,""adm1_name"":""Cabo Delgado""},{""adm1_code"":2113,""adm1_name"":""Gaza""},{""adm1_code"":2114,""adm1_name"":""Inhambane""},{""adm1_code"":2115,""adm1_name"":""Manica""},{""adm1_code"":2118,""adm1_name"":""Nampula""},{""adm1_code"":2119,""adm1_name"":""Niassa""},{""adm1_code"":2120,""adm1_name"":""Sofala""},{""adm1_code"":2121,""adm1_name"":""Tete""},{""adm1_code"":2122,""adm1_name"":""Zambezia""},{""adm1_code"":41373,""adm1_name"":""Maputo""},{""adm1_code"":65246,""adm1_name"":""Lago niassa""}]",2007-04-17,2023-09-25
2000-0108-IDN,No,nat-bio-epi-vir,Natural,Biological,Epidemic,Viral disease,,Dengue fever,IDN,Indonesia,South-eastern Asia,Asia,Jakarta,,,No,No,No,,,Vaccinated,,,,2000,1,,2000,1,,10,,1516,,1516,,,,,,,58.84064849,,2003-07-01,2023-09-25
2000-0109-NGA,No,nat-bio-epi-dis,Natural,Biological,Epidemic,Infectious disease (General),,Acute watery diarrhoeal syndrome,NGA,Nigeria,Sub-Saharan Africa,Africa,Ogun state,,,No,No,No,,,Vaccinated,,,,2000,1,,2000,1,,12,,,,,,,,,,,58.84064849,,2003-07-01,2023-09-25
2000-0110-MOZ,No,nat-bio-epi-dis,Natural,Biological,Epidemic,Infectious disease (General),,,MOZ,Mozambique,Sub-Saharan Africa,Africa,"Catembe (Maputo province), Sofala Provinces, Beira, Chimoio (Manica province)",,,No,No,No,,,Vaccinated,,,,2000,1,,2000,1,,11,,1810,,1810,,,,,,,58.84064849,,2003-07-01,2023-09-25
2000-0111-MEX,No,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,USGS:usp0009y65,,MEX,Mexico,Latin America and the Caribbean,Americas,Lazaro Cardenas district (Michoacan province),,,No,No,No,,6.5,Richter,18.198,-102.48,,2000,8,9,2000,8,9,,1,,,1,,,,,,,58.84064849,"[{""adm2_code"":20379,""adm2_name"":""Lazaro Cardenas""}]",2003-09-09,2023-09-25
2000-0116-ARG,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,ARG,Argentina,Latin America and the Caribbean,Americas,"Catamarca, Cordoba, Jujuy, La Rioja, Santiago del Estero, Salta,Tucuman provinces",Heavy rain,,No,No,No,,,Km2,,,,2000,3,9,2000,3,17,7,,,6000,6000,,,,,,,58.84064849,"[{""adm1_code"":431,""adm1_name"":""Catamarca""},{""adm1_code"":434,""adm1_name"":""Cordoba""},{""adm1_code"":438,""adm1_name"":""Jujuy""},{""adm1_code"":440,""adm1_name"":""La Rioja""},{""adm1_code"":445,""adm1_name"":""Salta""},{""adm1_code"":450,""adm1_name"":""Santiago Del Estero""},{""adm1_code"":452,""adm1_name"":""Tucuman""}]",2005-09-16,2023-09-25
2000-0117-IDN,No,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,,,IDN,Indonesia,South-eastern Asia,Asia,"Riau province (Sumatra Isl.), Kalimatan Barat, Kalimatan Tengah provinces (Borneo Isl.) ",,,No,No,No,,,Km2,,,,2000,2,,2000,2,,,,,,,,,,,,,58.84064849,"[{""adm1_code"":1522,""adm1_name"":""Kalimantan Barat""},{""adm1_code"":1524,""adm1_name"":""Kalimantan Tengah""},{""adm1_code"":73618,""adm1_name"":""Riau""}]",2003-07-01,2023-09-25
2000-0118-MWI,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,MWI,Malawi,Sub-Saharan Africa,Africa,"Chikwawa, Nsanje districts (Southern Region province), Karonga district (Northern Region province), Nkhotakota district (Central Region province)",,,No,No,No,,,Km2,,,,2000,3,,2000,3,,,,20000,,20000,,,,,1000,1700,58.84064849,"[{""adm2_code"":19312,""adm2_name"":""Nkhotakota""},{""adm2_code"":19317,""adm2_name"":""Karonga""},{""adm2_code"":19322,""adm2_name"":""Chikwawa""},{""adm2_code"":19328,""adm2_name"":""Nsanje""}]",2003-07-01,2023-09-25
2000-0119-PAK,No,nat-bio-epi-dis,Natural,Biological,Epidemic,Infectious disease (General),,,PAK,Pakistan,Southern Asia,Asia,"Tharparkar, Sindh Province",,,No,No,No,,,Vaccinated,,,,2000,3,,2000,3,,95,,,,,,,,,,,58.84064849,,2003-07-01,2023-09-25
2000-0120-COD,No,nat-bio-epi-dis,Natural,Biological,Epidemic,Infectious disease (General),,,COD,Democratic Republic of the Congo,Sub-Saharan Africa,Africa,"Aketi, Oriental Province",,,No,No,No,,,Vaccinated,,,,2000,1,15,2000,1,15,16,,62,,62,,,,,,,58.84064849,,2003-07-01,2023-09-25
2000-0128-USA,No,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,,,USA,United States of America,Northern America,Americas,"Gainesville, Alachua areas (Alachua district, Florida province), Lafayette, Gulf districts (Florida province)",,,No,No,No,,113,Km2,,,,2000,2,26,2000,2,26,,,600,,600,,,,,,,58.84064849,"[{""adm2_code"":28998,""adm2_name"":""Alachua""},{""adm2_code"":29019,""adm2_name"":""Gulf""},{""adm2_code"":29030,""adm2_name"":""Lafayette""}]",2003-07-01,2023-09-25
2000-0129-PER,No,nat-hyd-flo-fla,Natural,Hydrological,Flood,Flash flood,,,PER,Peru,Latin America and the Caribbean,Americas,"Hipre village (Uraya area, Angaraes district, Huancavelica province)",Torrential rain,"Slide (land, mud, snow, rock)",No,No,No,,,Km2,,,,2000,3,16,2000,3,16,22,,,50,50,,,,,,,58.84064849,"[{""adm2_code"":24086,""adm2_name"":""Angaraes""}]",2005-02-03,2023-09-25
2000-0130-BOL,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,BOL,Bolivia (Plurinational State of),Latin America and the Caribbean,Americas,"Nuflo de Chavez, Obispo Santiesteban districts (Santa Cruz province), Bermejo town (Acre district, Tarija province), Avilez district (Tarija province), Gran Chaco district (Tarija province), Chuquisaca province",Heavy rains,,No,No,No,,750,Km2,,,"Bermejo, Grande",2000,3,13,2000,3,15,,,7000,,7000,,,,,,,58.84064849,"[{""adm1_code"":40444,""adm1_name"":""Chuquisaca""},{""adm2_code"":40531,""adm2_name"":""Ñuflo De Chavez""},{""adm2_code"":40532,""adm2_name"":""Obispo Santisteban""},{""adm2_code"":40536,""adm2_name"":""Arce""},{""adm2_code"":40537,""adm2_name"":""Avilez""},{""adm2_code"":40539,""adm2_name"":""Gran Chaco""}]",2005-02-09,2023-09-25
2000-0131-TCD,No,nat-bio-epi-bac,Natural,Biological,Epidemic,Bacterial disease,,,TCD,Chad,Sub-Saharan Africa,Africa,"Logone Occidental, Logone Oriental, Moyen Chari, Mayo-Kebi",,,No,No,No,,,,,,,2000,1,,2000,1,,602,,4500,,4500,,,,,,,58.84064849,,2003-07-01,2023-09-25
2000-0133-COD,No,nat-bio-epi-vir,Natural,Biological,Epidemic,Viral disease,,Marburd virus,COD,Democratic Republic of the Congo,Sub-Saharan Africa,Africa,"Durba, Watsa District (Orientale Province)",,,No,No,No,,,Vaccinated,,,,2000,1,,2000,1,,10,,1,,1,,,,,,,58.84064849,,2003-07-01,2023-09-25
2000-0134-ETH,No,nat-bio-epi-bac,Natural,Biological,Epidemic,Bacterial disease,,,ETH,Ethiopia,Sub-Saharan Africa,Africa,"Kobo district (Amhara Region), Alamata District (Tigray Region), Gambella Region",,,No,No,No,,,,,,,2000,1,1,2000,3,31,14,,149,,149,,,,,,,58.84064849,,2005-06-16,2023-09-25
2000-0135-TZA,No,nat-bio-epi-vir,Natural,Biological,Epidemic,Viral disease,,,TZA,United Republic of Tanzania,Sub-Saharan Africa,Africa,"Pemba, Unguja, Zanzibar Isl.",,,No,No,No,,,Vaccinated,,,,2000,1,1,2000,1,1,9,,330,,330,,,,,,,58.84064849,,2003-07-01,2023-09-25
2000-0146-BGD,No,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,,BGD,Bangladesh,Southern Asia,Asia,Natore district (Rajshahi province),,,No,No,No,,,Kph,,,,2000,3,5,2000,3,5,,50,,3000,3050,,,,,,,58.84064849,"[{""adm2_code"":5812,""adm2_name"":""Natore""}]",2005-04-24,2023-09-25
2000-0152-AGO,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,AGO,Angola,Sub-Saharan Africa,Africa,"Caxito village (Dande district, Bengo province)",,,No,No,No,,,Km2,,,,2000,3,27,2000,3,27,3,,,6000,6000,,,,,,,58.84064849,"[{""adm2_code"":4208,""adm2_name"":""Dande""}]",2003-07-01,2023-09-25
2000-0155-AUT,No,nat-hyd-mmw-ava,Natural,Hydrological,Mass movement (wet),Avalanche (wet),,,AUT,Austria,Western Europe,Europe,"Kitzsteinhorn (Zell am See, Salzburg)",,,No,No,No,,,,,,,2000,3,28,2000,3,28,13,,,,,,,,,,,58.84064849,"[{""adm2_code"":5641,""adm2_name"":""Zell am See""}]",2003-07-01,2023-09-25
2000-0156-CHN,No,nat-met-sto-sto,Natural,Meteorological,Storm,Storm (General),,,CHN,China,Eastern Asia,Asia,"Qi Xian area (Jinzhong district, Shanxi Sheng province)",,,No,No,No,,79,Kph,,,,2000,3,28,2000,3,28,16,53,,,53,,,,,,,58.84064849,"[{""adm2_code"":13252,""adm2_name"":""Jinzhong""}]",2005-04-24,2023-09-25
2000-0158-NER,No,nat-bio-epi-bac,Natural,Biological,Epidemic,Bacterial disease,,,NER,Niger,Sub-Saharan Africa,Africa,"Niamey, Kirni N'Konni, Téra",,,No,No,No,,,,,,,2000,3,6,2000,3,6,128,,1067,,1067,,,,,,,58.84064849,,2003-07-01,2023-09-25
2000-0159-MYS,No,nat-bio-epi-dis,Natural,Biological,Epidemic,Infectious disease (General),,,MYS,Malaysia,South-eastern Asia,Asia,Sarawak,,,No,No,No,,,Vaccinated,,,,2000,1,,2000,1,,2,,480,,480,,,,,,,58.84064849,,2003-07-01,2023-09-25
2000-0160-CMR,No,nat-bio-epi-bac,Natural,Biological,Epidemic,Bacterial disease,,Meningococcal disease,CMR,Cameroon,Sub-Saharan Africa,Africa,"Bameda, Buea",,,No,No,No,,,,,,,2000,1,,2000,1,,22,,65,,65,,,,,,,58.84064849,,2003-07-01,2023-09-25
2000-0163-CHN,No,nat-met-sto-sto,Natural,Meteorological,Storm,Storm (General),,,CHN,China,Eastern Asia,Asia,Ili Kazakh district (Xinjiang Uygur Zizhiqu province),,,No,No,No,,,Kph,,,,2000,1,10,2000,1,10,9,4,18000,,18004,,,,,3100,5268,58.84064849,"[{""adm2_code"":13292,""adm2_name"":""Ili Kazakh""}]",2003-07-01,2023-09-25
2000-0164-RUS,No,nat-hyd-mmw-ava,Natural,Hydrological,Mass movement (wet),Avalanche (wet),,,RUS,Russian Federation,Eastern Europe,Europe,Transcaucasian (Severnaya Osetiya-alaniya Rep. Province),,,No,No,No,,,,,,,2000,1,19,2000,1,19,20,,,,,,,,,,,58.84064849,"[{""adm1_code"":2556,""adm1_name"":""Severnaya Osetiya-alaniya Rep.""}]",2003-07-01,2023-09-25
2000-0165-RUS,No,nat-met-ext-col,Natural,Meteorological,Extreme temperature,Cold wave,,,RUS,Russian Federation,Eastern Europe,Europe,Moskva province,,,No,No,No,,,°C,,,,2000,2,,2000,2,,13,252,,,252,,,,,,,58.84064849,"[{""adm1_code"":2535,""adm1_name"":""Moskva""}]",2003-07-01,2023-09-25
2000-0167-CZE,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,CZE,Czechia,Eastern Europe,Europe,"Stredocesky,Praha provinces (Center), Jihocesky, Severocesky, Zapadocesky provinces (West)",,,No,No,No,,,Km2,,,,2000,3,8,2000,3,13,,,,,,,,55000,93473,80000,135960,58.84064849,"[{""adm1_code"":1030,""adm1_name"":""Jihocesky""},{""adm1_code"":1032,""adm1_name"":""Praha""},{""adm1_code"":1033,""adm1_name"":""Severocesky""},{""adm1_code"":1035,""adm1_name"":""Stredocesky""},{""adm1_code"":1037,""adm1_name"":""Zapadocesky""}]",2007-04-17,2023-09-25
2000-0167-ROU,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,ROU,Romania,Eastern Europe,Europe,"Hunedoara, Maramures, Cluj, Mures, Bistrita Nasaud provinces",,,No,No,No,,,Km2,,,,2000,3,,2000,3,,,,3000,,3000,,,,,500,850,58.84064849,"[{""adm1_code"":2451,""adm1_name"":""Bistrita-nasaud""},{""adm1_code"":2459,""adm1_name"":""Cluj""},{""adm1_code"":2468,""adm1_name"":""Hunedoara""},{""adm1_code"":2471,""adm1_name"":""Maramures""},{""adm1_code"":2473,""adm1_name"":""Mures""}]",2007-04-17,2023-09-25
2000-0175-USA,No,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,,USA,United States of America,Northern America,Americas,"Fort Worth Texas city (Tarrant district, Texas province), Reagan, Burleson districts (Texas province)",,,No,No,No,,,Kph,,,,2000,3,28,2000,3,28,5,,3000,300,3300,,,,,450000,764777,58.84064849,"[{""adm2_code"":31225,""adm2_name"":""Burleson""},{""adm2_code"":31391,""adm2_name"":""Reagan""},{""adm2_code"":31419,""adm2_name"":""Tarrant""}]",2003-07-01,2023-09-25
2000-0176-JPN,No,nat-geo-vol-ash,Natural,Geophysical,Volcanic activity,Ash fall,,Mt. Isu,JPN,Japan,Eastern Asia,Asia,"Abutatyoo, Datesi, Soobetutyoo districts (Hokkaidoo province)",,,No,No,No,,,,34.92,139.12,,2000,3,31,2000,4,13,,,12400,,12400,,,,,,,58.84064849,"[{""adm2_code"":34168,""adm2_name"":""Abutatyoo""},{""adm2_code"":34187,""adm2_name"":""Datesi""},{""adm2_code"":34341,""adm2_name"":""Soobetutyoo""}]",2014-07-28,2023-09-25
2000-0178-MDG,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Hudah,MDG,Madagascar,Sub-Saharan Africa,Africa,"Antalaha, Sambava, Andapa districts (Sava province), Maroantsetra district (Analanjirofo province), Bealanana district (Sofia province)",,Rain,No,Yes,No,,300,Kph,,,,2000,4,2,2000,4,2,23,1,369271,,369272,,,,,,,58.84064849,"[{""adm2_code"":154527,""adm2_name"":""Maroantsetra""},{""adm2_code"":154595,""adm2_name"":""Andapa""},{""adm2_code"":154596,""adm2_name"":""Antalaha""},{""adm2_code"":154597,""adm2_name"":""Sambava""},{""adm2_code"":154601,""adm2_name"":""Bealanana""}]",2005-12-15,2023-09-25
2000-0178-MOZ,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Hudah,MOZ,Mozambique,Sub-Saharan Africa,Africa,"Angoche, Moma, Mogincual districts (Nampula province)",,,No,No,No,,,Kph,,,,2000,4,2,2000,4,2,1,4,,300,304,,,,,,,58.84064849,"[{""adm2_code"":21889,""adm2_name"":""Angoche""},{""adm2_code"":21896,""adm2_name"":""Mogincual""},{""adm2_code"":21898,""adm2_name"":""Moma""}]",2005-12-15,2023-09-25
2000-0179-RUS,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,RUS,Russian Federation,Eastern Europe,Europe,"Krymsky, Severskiy, Abinskiy districts (Krasnodarskiy Kray province)",,,No,No,No,,,Km2,,,,2000,3,,2000,3,,,,19800,,19800,,,,,5273,8961,58.84064849,"[{""adm1_code"":2524,""adm1_name"":""Krasnodarskiy Kray""}]",2003-07-01,2023-09-25
2000-0182-CAF,No,nat-bio-epi-bac,Natural,Biological,Epidemic,Bacterial disease,,,CAF,Central African Republic,Sub-Saharan Africa,Africa,"Ouaham-Pende, Haute Kotto, Bangui",,,Yes,No,No,,,,,,,2000,3,,2000,3,,108,,712,,712,,,,,,,58.84064849,,2003-07-01,2023-09-25
2000-0183-BEN,No,nat-bio-epi-bac,Natural,Biological,Epidemic,Bacterial disease,,Acute neurological syndrome,BEN,Benin,Sub-Saharan Africa,Africa,"Sinende, Gogounou, Borgou district",,,No,No,No,,,,,,,2000,3,,2000,3,,15,,95,,95,,,,,,,58.84064849,,2003-07-01,2023-09-25
2000-0184-BGD,No,nat-bio-epi-dis,Natural,Biological,Epidemic,Infectious disease (General),,Acute diarroheal syndrome,BGD,Bangladesh,Southern Asia,Asia,Barisal,,,No,No,No,,,Vaccinated,,,,2000,3,,2000,3,,,,3352,,3352,,,,,,,58.84064849,,2003-07-01,2023-09-25
2000-0185-ZMB,No,nat-bio-epi-dis,Natural,Biological,Epidemic,Infectious disease (General),,Acute diarrhoeal syndrome,ZMB,Zambia,Sub-Saharan Africa,Africa,"Mununga, Luapula Provinces",,,No,No,No,,,Vaccinated,,,,2000,3,,2000,3,,,,123,,123,,,,,,,58.84064849,,2003-07-01,2023-09-25
2000-0187-ROU,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,ROU,Romania,Eastern Europe,Europe,"Alba, Arad, Bihor, Bistrita, Botosani, Brasov, Caras-Severin, Cluj, Harghita, Hunedoara, Mamamures, Mures, Olt, Satu-Mare, Salaj, Timis provinces",Snowmelt,,Yes,No,No,536,932,Km2,,,"Lapus, Cavnis, Iza, Viseu, Tisa, Cris, Olt, Mures, Somes, Bega, Crisul Alb, Tirnava Mica, and Timis",2000,4,5,2000,4,25,9,,60000,431,60431,,,,,100000,169951,58.84064849,"[{""adm1_code"":2446,""adm1_name"":""Alba""},{""adm1_code"":2447,""adm1_name"":""Arad""},{""adm1_code"":2450,""adm1_name"":""Bihor""},{""adm1_code"":2451,""adm1_name"":""Bistrita-nasaud""},{""adm1_code"":2452,""adm1_name"":""Botosani""},{""adm1_code"":2454,""adm1_name"":""Brasov""},{""adm1_code"":2458,""adm1_name"":""Caras-severin""},{""adm1_code"":2459,""adm1_name"":""Cluj""},{""adm1_code"":2467,""adm1_name"":""Harghita""},{""adm1_code"":2468,""adm1_name"":""Hunedoara""},{""adm1_code"":2471,""adm1_name"":""Maramures""},{""adm1_code"":2473,""adm1_name"":""Mures""},{""adm1_code"":2475,""adm1_name"":""Olt""},{""adm1_code"":2477,""adm1_name"":""Salaj""},{""adm1_code"":2478,""adm1_name"":""Satu Mare""},{""adm1_code"":2482,""adm1_name"":""Timis""}]",2005-09-16,2023-09-25
2000-0188-TUR,No,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,,,TUR,Türkiye,Western Asia,Asia,"Bursa, Canakkale, Balikesir provinces",,,No,No,No,,8,Km2,,,,2000,4,5,2000,4,5,,,,350,350,,,,,,,58.84064849,"[{""adm1_code"":3028,""adm1_name"":""Balikesir""},{""adm1_code"":3037,""adm1_name"":""Bursa""},{""adm1_code"":3038,""adm1_name"":""Canakkale""}]",2003-07-01,2023-09-25
2000-0191-HUN,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,HUN,Hungary,Eastern Europe,Europe,"Borsod-Abauj-Zemplen, Szabolcs-Szatmar-Bereg province, Szolnok city (Jasz-nagykun-Szolnok province)",,,Yes,No,No,83,2500,Km2,,,,2000,4,6,2000,5,1,1,,2000,,2000,,,,,55000,93473,58.84064849,"[{""adm1_code"":1443,""adm1_name"":""Borsod-abauj-zemplen""},{""adm1_code"":1450,""adm1_name"":""Jasz-nagykun-szolnok""},{""adm1_code"":1455,""adm1_name"":""Szabolcs-szatmar-bereg""}]",2005-12-12,2023-09-25
2000-0193-AGO,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,AGO,Angola,Sub-Saharan Africa,Africa,Porto Amboim district (Cuanza Sul province),,,No,No,No,,,Km2,,,,2000,4,10,2000,4,10,1,,,3000,3000,,,,,,,58.84064849,"[{""adm2_code"":4251,""adm2_name"":""Porto Amboim""}]",2003-07-01,2023-09-25
